"","Quarter","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"28",2012 Q4,0.0155185200733245,-0.00677640272761848,0.00316544413807307,0.00322697652312032,-0.00731418976801568,0.040918909233038,0.0192843187027891,0.00254188440342173,-0.042318003309601,0.00650033114124082,0.00882971306219305,0.00840184613114681,0.0118440950759915,-0.0210322195704058,0.00659906387044629,-0.00884156685963688,-0.00333303695800358,-0.0141837154464769,-0.0044425001972993,-0.0184063243810074,-0.0309750962293434,-0.00900614869874128,0.00953063955536071,-0.000361289141815213,0.0129166229839091,-0.00963107170715005,0.00286843421304073,0.00176011785333419,-0.0167102287480986,-0.0162529653256208,0.00676369621633088,0.00413018400499254,-0.0253540832626874,0.052436207983932,0.00546455786768507,0.16829521122931,-0.00882353988576823,0.0196888104703992,-0.0162599762956392,0.00272873454224198,-0.00428177751436865,-0.000467051739754809,-0.0155534318370547,0.020899101238139,0.049766921543227,0.0141528560120394,-0.0318973452858281,-0.00150105564314362,0.0165247170920855,-0.0299918616809133,0.00138127830415824,-0.0508798475251991
"29",2013 Q1,0.0170086848570941,0.0141637565908261,-0.00496619610699978,0.00598010472933042,0.0194877833885534,0.0250990348679361,0.0379120001419926,-0.014793372763118,-0.0594456246107307,0.0104940768282402,0.0212935137945551,0.0212922128025677,0.0306215095871503,0.0175758727540956,-0.00315812807305094,0.0257733420284101,-0.00422878004259197,-0.0376580204804625,0.02716961991635,-0.0303436869498064,-0.00443362834833061,0.00273105745212332,0.00890686335494983,0.0193400674857243,0.0125316815678136,-0.00307843682098319,0.0161127715663067,0.0109866116848389,0.0174339924500184,0.0021054504683915,0.0242460574270242,0.022242428706015,-0.0127133133007665,0.0136671267658435,0.000909533374787941,0.0557293831914754,0.0216940648583897,0.0252811174377932,-0.00422540140783068,0.0154040059179987,0.0100212453940305,0.0119727752687488,-0.0280381731314929,0.0299296679303795,0.0500270601740784,0.019101004669229,-0.00964780201032389,0.0162338403033939,0.0272763058374978,0.00308119602482315,-0.000520796368619791,-0.00223689320388354
"30",2013 Q2,0.0151993820410703,0.007908076657418,-0.0653043944080596,3.35613604041107e-06,0.0192901702671966,0.0327063126117288,0.0329992749575734,-0.0244859610012883,-0.0484504681045516,-0.00354547008933026,0.023806089803625,0.017398963724218,0.0184863638615338,0.0389890427484412,-0.00379181995010092,0.0148874387964091,-0.021140161454127,-0.0129520461599734,0.0161411549464889,-0.0456679983254202,-0.0196150844645121,0.00763343730955635,2.84865939610413e-05,0.0167429682727778,0.0203314720709287,-0.014553481442531,0.0149230875892117,0.0183349593348709,0.00549593778511537,0.00171671242937488,0.0206867451244297,0.0170361654848921,-0.0236026235767488,0.0033427983545169,0.0146578884613622,0.0107823217072103,0.0181529150608217,0.0112121812725801,0.000363686367495175,0.0187097468761424,0.000197652174527052,0.0124572021795883,-0.0157706310679611,0.0109789920717926,0.0514613893605691,0.027139656236717,-0.0253031460389227,0.00942218909798576,0.0222427190155288,-0.00175075235033428,-0.00182238802693058,-0.0140998476181606
"31",2013 Q3,0.0223702249329552,0.0252763141095318,-0.0546954801093944,0.00617777295580924,0.0328036534695777,0.0407827151577294,0.0476901304156763,-0.0149836187916893,-0.0290066843283943,0.000219524261869886,0.0238873516631268,0.0199764182290676,0.0191988122307853,0.0486267201143931,0.00583406867407943,0.0296275133273112,-0.000400521202263304,0.026552362889549,0.023016075264064,-0.0190608812221982,-0.00522980601284251,0.00498522823953107,0.00660899686045879,0.0202244113621197,0.0341674531816603,0.0150098339019855,0.0216504796923207,0.0183728335357731,0.0227377303068805,0.0107258844254645,0.0195905700176993,0.00845833123048223,-0.00785478030988995,-0.00205290920802126,0.023647274997157,0.0165776018261192,0.0285677788860208,0.0213030278098225,0.0116353456488534,0.0199990374238339,0.00966446270777976,0.0301083113386946,0.0419892220178777,0.0216010735891738,0.0585031802708593,0.044852841351616,-0.0211562761951231,0.00886631111419378,0.0304122101765265,0.0142675827662657,0.0120712502603513,0.0181422775683391
"32",2013 Q4,0.0300914496017461,0.0173144428164431,-0.0464527654456374,0.0118659596399002,0.0392291216121756,0.0515921737771641,0.0492216995209247,-0.0176171497575374,0.0312802058950261,0.00996419510382429,0.0350628800060482,0.0302684266830693,0.0253351976198655,0.0731810504407364,0.025189315160234,0.0452007909047205,0.0299299345139574,0.0436038404708605,0.0303537783022905,-0.00194642328942174,0.0185192193886679,0.018726645923556,0.0151568357024834,0.0255159298871654,0.0415852473878284,0.0173104712242915,0.0216888937539148,0.0232112287222885,0.0162805551672054,0.0293919711696677,0.01231902514612,0.0252951135442558,0.0157213227287263,0.000138072953492108,0.0374544261549152,0.0213383370060873,0.0442955516421866,0.0368130427904494,0.041017109467983,0.0340867250367687,0.0191450231493857,0.0427127005731913,0.000701911374453301,0.0221960682529099,0.0443876074567666,0.0342476028730143,0.0060210593490746,0.0126950508202004,0.0422481168415854,0.0300218499838174,0.0244858058176629,0.0332218905047508
"33",2014 Q1,0.0165081755593803,-0.018614018771916,-0.0508865913108694,0.00458837435427295,0.00992310806698904,0.0419796753570141,0.0311360893691401,-0.0169523289826256,0.0532269484152381,0.011889691822853,0.0191488574965311,0.02152395975205,-0.00122887521263026,0.0483807913950312,0.00731995533877638,0.015495544974486,0.0251237946618472,0.00394049503308258,-0.0128409583058435,-0.0055131497693417,-0.00601661152002164,0.00208347801930686,0.00673586152765715,0.00319546714317509,0.0237584305996119,-0.0129412130251056,-0.00950879662209703,0.0125882502243131,0.0231710097164408,-0.00447049128930499,0.0007834832681759,-0.013503096178574,0.00912962327775513,0.0168362365064365,0.0263917343859967,0.0797023080546395,0.025494591564821,0.0247176547585153,0.0228856569228393,0.0152440209046274,0.000530681444013803,0.0197812288016059,0.036646775522712,0.00593391828444467,0.0224167776047692,0.0340509237315072,-0.00882513773473381,-0.00911205383354619,0.0285875456087035,-0.0136348641515964,0.0104476915332328,-0.00281795394747086
"34",2014 Q2,0.0268915215872729,-0.00319271265876442,-0.0173433487582709,0.00953676416544758,0.0157521965139116,0.041601821574375,0.0446455083637181,0.00470820060434796,0.0862790272875653,0.0219158945071454,0.0299675210923085,0.0359745287194553,0.0112828417745752,0.0319703952525607,0.02472261910649,0.0421430621385923,0.0665429668135014,0.0201948792508955,0.00506705435919597,0.0323308622243381,0.0104895522082775,0.020918204414706,0.014794442052281,0.01854113545083,0.0330313588850175,0.0190575710582825,0.00289589981307459,0.0227950182160093,0.0437478845752226,0.0061783547804366,0.024097122249561,0.0012394208894575,0.0220709651342885,0.019060976343827,0.026471598012606,0.10763000024063,0.0399113677902871,0.0495781660755088,0.0344723635159347,0.0185090677790598,0.01171210592063,0.0436580134904287,0.0308341707716557,0.02141618031352,0.0295009861560851,0.0383452178692956,0.00293485882535838,0.00259546512457831,0.0357041720484745,0.00337356968635705,0.0328835368349205,0.0222814691966757
"35",2014 Q3,0.030597829282017,-0.00226217801826478,-0.0226237868975765,0.015138470440853,0.012468573080777,0.0463043640745615,0.0492995937002736,0.0111779687235991,0.103337822056089,0.0282075178626904,0.0325746507605347,0.0429703098524667,0.0159559353622689,0.0275188032132083,0.0291217509998423,0.0404351194210699,0.06762480330437,0.0348971825003164,0.00469882862264281,0.0437986433174504,0.0152375200605295,0.0245504427901533,0.0219521810709187,0.019991068274096,0.0286423465301235,-0.00501766989797592,0.0115959477889462,0.0260762193907582,0.0369931763112725,0.00905531132564574,0.0135254748712583,0.00606985948732719,0.0361654848280379,0.02772396141143,0.0253357935717446,0.101015307097058,0.0441645798644019,0.0859417627717105,0.0405936051919411,0.0254149423894816,0.00897217768094305,0.0309049840724631,0.0161352885039661,0.0217658098099707,0.0340206648591022,0.0292816296719784,0.0255118995884351,0.00336897510518708,0.0422245177851217,0.0096262058149974,0.0331342969003208,0.032601145805589
"36",2014 Q4,0.0268583510114566,0.00685689725762928,-0.00513070689121076,0.0090337894628878,0.0141408689297813,0.0216867235905642,0.0591606403920111,0.0273245554394923,0.066478459714302,0.0279058221681661,0.0339017523625196,0.0403303770166576,0.01222106969286,0.0173380720136422,0.0195507225718596,0.0294716156501851,0.0566888330430684,0.0310210775281927,0.00515016385958611,0.0405288104210677,0.0193614423033073,0.0150993647947568,0.0323660395788539,0.0153863741198004,0.021954057804271,0.00901335478887977,0.0160804920738373,0.031711392382741,0.0494636707756768,0.010042648740048,0.0320852022367564,0.00446778685268123,0.0441676316102302,0.025642164049269,0.0209835937925207,0.113182086831443,0.0357148181672966,0.0775477883463649,0.0327077951679076,0.0230881591522791,0.018440899417886,0.0243215067417006,0.00136797222216511,0.0204104415304687,0.040328753343545,0.0376245170357163,0.0253863939838939,0.00462939182904765,0.0453977232377862,0.00941172345527175,0.0279282998998489,0.0394135267223712
"37",2015 Q1,0.0396929949881848,0.0182334629163208,0.0171905484908177,0.0237849783015169,0.00318805190191651,0.0565032604609952,0.0638156728782171,0.0502296117992789,0.0774545398408806,0.0224165594370045,0.0438893854400952,0.0486676253507685,0.0325959303916836,0.0300910794110412,0.0283551427315698,0.00899539667882765,0.0590632706948124,0.0381974567581325,0.0136373793762314,0.0260622663488106,0.0144158588033887,0.0315778199207404,0.0452331765357117,0.0277252736653473,0.0389176974267247,0.00737712886366482,0.0278811278967752,0.0490212245741564,0.0386706794934435,0.0340837119599562,0.0320285501621564,0.0224115576631163,0.037202285704196,0.0284826380854502,0.0353873050788678,0.0689832685340948,0.0286879318309412,0.0771346732952014,0.0584898351888643,0.0323820187332873,0.0168187555031185,0.0358537094099531,0.00261454357339597,0.0313037689918785,0.074882050937535,0.0372566678306074,0.0193381529895369,0.0168140506625276,0.0500233982898466,0.0203313490404531,0.0372345427125298,0.0618319021597709
