"Period","intercept","coef"
"2006-2020",2.08814996988211,-3.98717165692609
"2006-2008",2.20057119604482,-4.68935378979075
"2008-2020",1.7360094029249,-3.62759532468856
"2020-2025",2.10001750381174,-3.27494537209895
